id,key,value,type
88475951,highway,turning_circle,regular
88519926,highway,turning_circle,regular
151610104,ele,1946,regular
151610104,name,Prairie Trail Ranches,regular
151610104,is_in,"Elbert,Colorado,Colo.,CO,USA",regular
151610104,place,hamlet,regular
151610104,id,2088863,gnis
151610104,Class,Populated Place,gnis
151610104,County,Elbert,gnis
151610104,ST_num,08,gnis
151610104,import_uuid,bb7269ee-502a-5391-8056-e3ce0e66489c,regular
151610104,ST_alpha,CO,gnis
151610104,County_num,039,gnis
175907219,highway,turning_circle,regular
175916052,source,Yahoo,regular
175916052,highway,turning_circle,regular
175939728,highway,turning_circle,regular
175962948,highway,turning_circle,regular
175967566,source,Yahoo,regular
175967566,highway,turning_circle,regular
176012268,highway,traffic_signals,regular
176085485,highway,traffic_signals,regular
176111304,highway,turning_circle,regular
176120518,highway,traffic_signals,regular
176163598,source,Yahoo,regular
176163598,highway,turning_circle,regular
176181202,highway,turning_circle,regular
176188044,highway,turning_circle,regular
176304481,source,Yahoo,regular
176304481,highway,turning_circle,regular
176308999,highway,turning_circle,regular
176412465,highway,turning_circle,regular
176437763,highway,turning_circle,regular
176550462,highway,turning_circle,regular
177250601,highway,traffic_signals,regular
177279461,highway,traffic_signals,regular
177326602,highway,turning_circle,regular
177335740,highway,traffic_signals,regular
267741879,crossing,zebra,regular
267741879,highway,crossing,regular
279940112,highway,traffic_signals,regular
358917083,ele,2533,regular
358917083,name,Slough Pond,regular
358917083,landuse,reservoir,regular
358917083,created,10/13/1978,gnis
358917083,state_id,08,gnis
358917083,county_id,047,gnis
358917083,feature_id,181568,gnis
358932551,ele,2523,regular
358932551,name,Rock Ledge Park,regular
358932551,leisure,park,regular
358932551,created,09/01/1992,gnis
358932551,state_id,08,gnis
358932551,county_id,013,gnis
358932551,feature_id,197785,gnis
358946391,ele,2841,regular
358946391,name,Dory Hill Cemetery,regular
358946391,amenity,grave_yard,regular
358946391,created,04/12/2001,gnis
358946391,state_id,08,gnis
358946391,county_id,047,gnis
358946391,feature_id,1901211,gnis
358950498,ele,1605,regular
358950498,name,First Avenue Presbyterian Church,regular
358950498,amenity,place_of_worship,regular
358950498,religion,christian,regular
358950498,denomination,presbyterian,regular
358950498,created,03/27/2007,gnis
358950498,state_id,08,gnis
358950498,county_id,031,gnis
358950498,feature_id,2111031,gnis
366394948,ele,1638,regular
366394948,name,Denver Fire Department Streettion 23,regular
366394948,amenity,fire_station,regular
366394948,state,CO,addr
366394948,feature_id,2113256,gnis
366394948,county_name,Denver,gnis
